BSc (Hons) Computing for Business,I206
BSc (Hons) Mathematics and Teaching KS 2/3,G1X1
BSc (Hons) Secondary Mathematics with QTS,G1X2
BSc (Hons) Mathematics with Statistics,GG31
BSc (Hons) Mathematics,G100
BSc (Hons) Adult Nursing,B700
BSc (Hons) Physiotherapy,B160
BSc (Hons) Politics,L200
BSc (Hons) Psychology (with IFY),C806
BSc (Hons) Psychology,C800
BSc (Hons) Sport Coaching,C620
BSc (Hons) Sport and Exercise Psychology,C841
BSc (Hons) Sport and Exercise Science (Sailing),C606
BSc (Hons) Sport and Exercise Science,C604
BSc (Hons) Sports Therapy,CB69
Foundation Degree in Early Years,X315
PGCE Early Years (3-7),3DHN
PGCE General - Primary,X100
PGCE Primary - Modern Languages,3DC6
PGCE Secondary - Dance,3D2X
PGCE Secondary - English,Q3X1
PGCE Secondary - History,V1X1
PGCE Secondary - Mathematics,G1X1
PGCE Secondary - MFL: French with German,2TRG
PGCE Secondary - MFL: French with Spanish,2TWP
PGCE Secondary - MFL: German with Spanish,2TRD
PGCE Secondary - MFL: Spanish with French,2TRC
PGCE Secondary - Modern Foreign Languages,R9X1
PGCE Secondary - Music,3CM7
PGCE Secondary - Physical Education,X9C6
PGCE Secondary - Science with Biology,2C42
PGCE Secondary - Science with Chemistry,2C43
PGCE Secondary - Science with Physics,F3X2
School Direct - Bitterne Park - English (Salaried),25MG
"School Direct - TESLA, Bohunt  - Chemistry",29BC
School Direct - Bohunt School  English (Salaried),2JGD
School Direct - Bohunt School - Mathematics (Sal.),29B9
School Direct - Bohunt School - Physics,29BB
School Direct - Bohunt -  Primary (Salaried),2TTR
School Direct - Bohunt -  Primary,2TV2
School Direct - Horndean -  Primary (Salaried),25SY
School Direct - The Bay CE Primary -  Primary,34Z9
School Direct - Bitterne Park - English,25MJ
School Direct - Bitterne Park - English with Drama,BH7Y
School Direct - Bitterne Park - English with Media,BNJ5
School Direct - Bitterne Park - English with SEN,BN76
School Direct - Bishop Luffa - Modern Languages,2T7B
School Direct - Bishop Luffa - Modern Languages,2T79
School Direct - Bishop Luffa - Modern Languages,2T79
School Direct - Blue Flag  - History,2T7C
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Blue Flag   - Physics,2FLX
School Direct - Bishop Luffa - English,2MVS
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Blue Flag - English,2MVS
School Direct - Blue Flag  - History,2T7C
School Direct - Blue Flag - Modern Languages,2T79
School Direct - Blue Flag   - Physics,2FLX
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Bishop Luffa - English,2MVS
School Direct - Bishop Luffa - History,2T7C
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Blue Flag - English,2MVS
School Direct - Blue Flag  - History,2T7C
School Direct - Bishop Luffa  - Modern Languages,37Y6
School Direct - Blue Flag   - Physics,2FLX
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Blue Flag - English,2MVS
School Direct - Blue Flag - History,2T7C
School Direct - Bishop Luffa   - Physics,2FLX
School Direct - Blue Flag   - Physics,2FLX
School Direct - Bishop Luffa -  Primary,2C8N
School Direct - Bishop Luffa - Biology,2FLZ
School Direct - Bishop Luffa - Chemistry,2FLY
School Direct - Blue Flag - English,2MVS
School Direct - Blue Flag   - Physics,2FLX
School Direct - Bohunt Cluster -  Primary,2JSB
School Direct - Bohunt Cluster -  Primary,2JS8
"School Direct - TESLA, Bohunt -  Primary",2TTS
"School Direct - TESLA, Bohunt  -  Primary",2JFK
School Direct - TESLA Bohunt School - Geography,2TVK
School Direct - Bohunt School - Mathematics,2NSC
School Direct - Bohunt School - Mathematics,2NSD
"School Direct - TESLA, Bohunt - Physical Education",29B7
School Direct - Bohunt - Petersfield   - English,2JGC
School Direct - Bohunt - Petersfield   - MFL,2LMN
School Direct - Bohunt / Petersfield - Physics,2JG8
School Direct - Bohunt School - Physics,2L8H
"School Direct - TESLA, Bohunt  -  Primary",2TTP
School Direct - Bohunt -  Primary with Mathematics,32L3
School Direct - Bohunt - Priory School   - P.E.,2LHW
School Direct - TESLA Bohunt -  Primary,296Q
School Direct - Bishop Luffa / Regis - History,2T7C
School Direct - Millais School   - Biology,L388
School Direct - Millais School   - Dance,C866
School Direct - Millais School   - English,L411
School Direct - Millais School   - History,T427
School Direct - Millais Alliance   - Physics,C496
School Direct - Millais School   - Mathematics,L422
School Direct - Millais School   - Mathematics,F244
School Direct - Millais School   - Mod Languages,L399
School Direct - Millais School   - Mod Languages,L455
School Direct - Millais School   - Music,L466
School Direct - Millais Alliance   - Physics,L488
School Direct - Millais School   - P.E.,L477
School Direct - Portsmouth TSA - History,2VTT
School Direct - Portsmouth TSA - Dance,H288
School Direct - Portsmouth TSA - Music,3DPJ
School Direct - Portsmouth  TSA - Primary (SEN),32WY
School Direct - STAGE TSA -  Primary,388Y
School Direct - STAGE TSA -  Primary,388Y
School Direct - STAGE TSA -  Primary,388Y
School Direct - STAGE TSA -  Primary,388Y
School Direct - STAGE TSA -  Primary,388Y
School Direct - Innovation Teacher Training  - SEN,266P
"School Direct - TESLA, Bohunt  - Chemistry",2JGJ
School Direct - TESLA  - Biology,2TV5
School Direct - TESLA  - Biology,2TVG
"School Direct - TESLA, Bohunt -  Primary",2JS7
"School Direct - TESLA, Bohunt -  Primary",2JS8
School Direct - TESLA - Bohunt  - Chemistry,2TVM
"School Direct - TESLA, Bohunt -  Primary",2JFJ
"School Direct - TESLA, Bohunt  - Chemistry",2JG7
School Direct - TESLA  - English,2TVP
School Direct - TESLA  - English,2TV3
School Direct - TESLA  - Geography,2JFZ
School Direct - TESLA  - Geography,2JGB
School Direct - TESLA  - History,32KF
School Direct - TESLA  - History,2JFS
"School Direct - TESLA, Bohunt  - Chemistry",32KQ
School Direct - TESLA  - Mathematics,32KB
School Direct - TESLA  - Mathematics,2JFY
School Direct - TESLA  - Mathematics,29B9
School Direct - TESLA  - Modern Languages,2LMN
School Direct - TESLA  - Music,2TVD
School Direct - TESLA  - P.E.,32JW
School Direct - TESLA  - P.E.,2LHW
School Direct - TESLA  - Physics,32JN
School Direct - TESLA  - Primary,2TTX
School Direct - TESLA  - Primary,2TTW
School Direct - TESLA  - Primary,2TTV
School Direct - TESLA  - Primary,32L4
School Direct - TESLA  Bohunt - Primary,2TTT
School Direct - TESLA  - Primary,2TTZ
School Direct - TESLA  - Primary,2JS9
School Direct - Portsmouth TSA  - Primary,2MGS
School Direct - Uni. CAT Partnership -  English,356N
School Direct - Uni. CAT Partnership -  History,2YSF
School Direct - Uni. CAT Partnership -  Maths,2YQG
School Direct - UCAT  - Physics,3BPQ
School Direct - Uni. CAT Partnership -  P.E.,2YSG
School Direct - Uni. CAT Partnership -  Primary,2YPW
School Direct - UCAT  - R.E.,3BPT
School Direct - Petersfield - Physics (Salaried),274N
School Direct - STAGE TSA - Primary,2Z9K
School Direct - Sparkle Alliance -  Primary,39M8
School Direct - SCLP - Primary (Salaried),39J6
School Direct - SCLP - Mathematics (Salaried),39J7
INVALID COURSE,ZZZZ
